项　　　  　目,行次,2025-01-01T00:00:00_预算数,本月实际,2025-02-01T00:00:00_预算数,本月实际_1,2025-03-01T00:00:00_预算数,本月实际_2,2025-04-01T00:00:00_预算数,本月实际_3,2025-05-01T00:00:00_预算数,本月实际_4,2025-06-01T00:00:00_预算数,本月实际_5,2025-07-01T00:00:00_预算数,本月实际_6,2025-08-01T00:00:00_预算数,本月实际_7,2025-09-01T00:00:00_预算数,本月实际_8,2025-10-01T00:00:00_预算数,本月实际_9,2025-11-01T00:00:00_预算数,本月实际_10,2025-12-01T00:00:00_预算数,本月实际_11,2025年合计_预算数,本年实际,2025年合计逆向验证_实际数,2025年合计逆向验证_预算数,本月实际_12,检验结果_预算数,本月实际_13
一、营业收入,1,437336.28,588568.8528000001,292241.52,272160.02160000004,536067.7200000001,294425.2044,629494.2000000001,714072.6072,598133.16,352109.8492000001,646968.6000000001,582044.8208,761612.4,642341.2496000001,717474.89,743829.6079999999,1063364.4300000002,832589.4496,689787.64,762133.3615999998,899445.2000000001,562690.2664000001,1255568.9600000002,952721.0072000002,8527495.000000002,7299686.2984,,8527495.000000002,7299686.2984,0.0,0
中式汤底,,0.0,180729.87840000002,0.0,163469.95560000002,0.0,101430.20880000001,0.0,285452.6184,0.0,78655.54680000001,0.0,172516.0464,0.0,231904.6308,0.0,167113.27080000003,0.0,308831.2488,0.0,231457.16520000002,0.0,162886.1724,0.0,195271.06320000003,0.0,2279717.8056,1.08,0.0,2279717.8056,0.0,0
酱料,,0.0,235514.95200000002,0.0,85230.16560000001,0.0,102544.542,0.0,203676.0444,0.0,135749.29320000001,0.0,253916.4888,0.0,215896.65480000002,0.0,330549.6708,0.0,288223.2288,0.0,426945.0276,0.0,251251.56720000002,0.0,533232.234,0.0,3062729.8692,,0.0,3062729.8692,0.0,0
川味底料,,0.0,78710.0004,0.0,22299.613200000003,0.0,77253.426,0.0,150989.75639999998,0.0,149505.49080000003,0.0,152027.29080000002,0.0,137416.62960000001,0.0,231186.90600000002,0.0,161410.33080000003,0.0,98474.0544,0.0,109084.7844,0.0,203257.8792,0.0,1571616.1620000002,,0.0,1571616.1620000002,0.0,0
调味汁,,0.0,7317.2268,0.0,227.4696,0.0,374.652,0.0,5325.4583999999995,0.0,1364.8176,0.0,6453.2376,0.0,2850.0552000000002,0.0,6007.867200000001,0.0,4121.2044000000005,0.0,3251.4696,0.0,454.9392,0.0,17186.3316,0.0,54934.7292,,0.0,54934.7292,0.0,0
复合调味粉,,0.0,82550.2428,0.0,932.8176000000001,0.0,3830.6628,0.0,68628.7296,0.0,6095.800800000001,0.0,4736.707200000001,0.0,57238.099200000004,0.0,13395.823200000003,0.0,75176.59680000001,0.0,27570.574800000002,0.0,58936.4532,0.0,20225.959200000005,0.0,419318.4672,,0.0,419318.4672,0.0,0
团餐,,0.0,3746.5524000000005,0.0,0.0,0.0,8991.712800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12738.265200000002,,0.0,12738.265200000002,0.0,0
预制菜,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
返利,,,,,,,,,,,19261.1,,7604.95,2250.0,2964.82,3484.51,4423.93,51545.49,5173.15999999999,7550.0,25564.93,9850.0,19923.65,16225.0,16452.46,90905.0,101369.0,,90905.0,101369.0,,
其他,,437336.28,0.0,292241.52,0.0,536067.7200000001,0.0,629494.2000000001,0.0,598133.16,0.0,646968.6000000001,0.0,763862.4,0.0,720959.4,0.0,1114909.9200000002,0.0,697337.64,0.0,909295.2000000001,0.0,1271793.9600000002,0.0,8618400.0,0.0,,8618400.0,0.0,0.0,0
