user_input,intent_code
"查一下今天谁来了",ATTENDANCE_TODAY
"查一下今日考勤统计",ATTENDANCE_TODAY
"帮我查一下今天出勤情况",ATTENDANCE_TODAY
"查一下今天谁有空",ATTENDANCE_TODAY
"查询发货量",SHIPMENT_STATS
"现在有什么批次在生产",PROCESSING_BATCH_LIST
"原料信息",MATERIAL_BATCH_QUERY
"帮我查一下今天有谁",ATTENDANCE_TODAY
"原料库存查询",MATERIAL_BATCH_QUERY
"今天在岗人员",ATTENDANCE_TODAY
"签到打卡",CLOCK_IN
"帮我查一下查看在产批次",PROCESSING_BATCH_LIST
"查一下出货汇总",SHIPMENT_STATS
"查一下今天上班的人",ATTENDANCE_TODAY
"我来签到",CLOCK_IN
"查一下原料批次列表",MATERIAL_BATCH_QUERY
"查一下发货数据怎么样",SHIPMENT_STATS
"查一下发货量对比",SHIPMENT_STATS
"帮我查一下原料有哪些",MATERIAL_BATCH_QUERY
"查一下签到",CLOCK_IN
"帮我查一下今天谁来了",ATTENDANCE_TODAY
"帮我查一下下班签到",CLOCK_IN
"帮我查一下今天谁没来",ATTENDANCE_TODAY
"请帮我看看在产批次",PROCESSING_BATCH_LIST
"查一下记录签到",CLOCK_IN
"查一下出货量",SHIPMENT_STATS
"帮我查一下发货汇总",SHIPMENT_STATS
"帮我查一下这周发货多少",SHIPMENT_STATS
"看下原料批次",MATERIAL_BATCH_QUERY
"帮我查一下当前批次有哪些",PROCESSING_BATCH_LIST
"查一下出货总量",SHIPMENT_STATS
"签到登记",CLOCK_IN
"签到",CLOCK_IN
"当前生产线上的批次",PROCESSING_BATCH_LIST
"我要打卡",CLOCK_IN
"帮我查一下在产批次列表",PROCESSING_BATCH_LIST
"帮我查一下最近发货量",SHIPMENT_STATS
"今天出勤情况",ATTENDANCE_TODAY
"查一下原料",MATERIAL_BATCH_QUERY
"查一下看看在产批次",PROCESSING_BATCH_LIST
"上班签到",CLOCK_IN
"帮我查一下签到打卡",CLOCK_IN
"打卡记录一下",CLOCK_IN
"查一下打个卡",CLOCK_IN
"今天迟到的有谁",ATTENDANCE_TODAY
"帮我查一下签到一下",CLOCK_IN
"帮我查一下查一下在产批次",PROCESSING_BATCH_LIST
"帮我查一下打卡上班",CLOCK_IN
"查一下发货统计",SHIPMENT_STATS
"上班打卡",CLOCK_IN
"查一下这周发货多少",SHIPMENT_STATS
"帮我查一下帮我签个到",CLOCK_IN
"查一下打卡上班",CLOCK_IN
"打卡上班",CLOCK_IN
"原料都有什么",MATERIAL_BATCH_QUERY
