,,,,,,,,,商品销量报表,,,,,,,,,
"门店名称:九记·東門口",,,,,,,,,,,,,,,,,,,
"查询条件:门店:[東門口温州店(CS009040522),東門口武林店(CS003031459),(闭店)東門口上海中庚漫游城店(CS009040523),東門口桐乡万象汇店(CS009054282),東門口奥体店(CS003030504),東門口苏州店(CS009039921),(闭店)炎合里中国北方菜(CS011000128),(闭店)炎合里金华永盛购物中心店(CS009035567),東門口远洋店(CS003021468),(闭店)东门口96店(CS003025461),東門口杭州滨江龙湖店(CS009051886),東門口无锡店(CS009050468),焱合里自助火锅文一路店(CS009034590),東門口金华世贸店(CS009037775),京熹顺杭州金沙店(CS009053371),東門口富阳店(CS009049555),東門口上海西郊百联店(CS009050467),巷口锅香文一路店(CS009058665),東門口会员店(CS009054378),東門口501店(CS009040508),華門新京菜中国茶(欧美广场EFC店)(CS009035566),小蒸娘老杭州萧山蒸菜(CS009057694),東門口啦啦宝都店(CS009040524),京熹顺南京店(CS009053417)]; 商品分类:[全部]; 商品:[全部]; 时间范围:[""2026-02-01"",""2026-02-28""]; 是否显示套餐子商品数量:是; 商品名称多选:; 区域:全部; 交易类型:销售; 销售渠道:全部; 商品属性:[赠品,单品,套餐,自定义套餐,自定义单品,套餐子商品,其他]; 排序方式:数量; 展示维度:按商品+点单方式汇总; 商品分类多选:; 是否显示套餐子商品金额:是; 菜单名称:",,,,,,,,,,,,,,,,,,,
"门店名称","商品分类","收入分组","商品编码","商品名称","规格","商品类型","点单方式","单卖数量(不含套餐子商品)","数量(含套餐子商品)","退货数量(不含套餐子商品)","套餐内销量","单位","销售单价","销售金额","折后金额","分摊优惠","实退金额","实收",
"京熹顺南京店","小料",,"","自助小料",,"餐饮商品","单品",624.00,624.00,0.00,0.00,"份",10.00,6240.00,6240.00,873.88,0.00,5366.12,
"京熹顺南京店","过瘾烧烤",,"","生烤羊肉串",,"餐饮商品","单品",255.00,255.00,0.00,0.00,"份",10.00,2550.00,2506.40,412.28,0.00,2094.12,
"京熹顺南京店","小料",,"","自助小料",,"餐饮商品","套餐子商品",0.00,244.00,0.00,244.00,"份",10.00,2440.00,2440.00,468.70,0.00,1971.30,
"京熹顺南京店","其他",,"","餐巾纸",,"餐饮商品","单品",236.00,236.00,0.00,0.00,"盒",2.00,472.00,472.00,72.55,0.00,399.45,
"京熹顺南京店","新外卖",,"","菜品加工生熟(煮熟出餐)","煮熟出餐","餐饮商品","单品",139.00,139.00,0.00,0.00,"份",0.00,0.00,0.00,0.00,0.00,0.00,
"京熹顺南京店","新外卖",,"","招牌涮[牛肉]捞捞桶",,"餐饮商品","单品",113.00,113.00,0.00,0.00,"份",35.00,3955.00,3955.00,1999.16,0.00,1955.84,
"京熹顺南京店","锅底",,"","老北京传统清水锅",,"餐饮商品","单品",107.00,107.00,0.00,0.00,"锅",16.00,1712.00,1688.00,250.77,0.00,1437.23,
"京熹顺南京店","店家推荐",,"","至尊羊围脖",,"餐饮商品","单品",104.00,104.00,0.00,0.00,"份",139.00,14456.00,14264.26,2115.58,0.00,12148.68,
"京熹顺南京店","苏尼特熊猫羊系列",,"","手切羊后腿",,"餐饮商品","单品",96.00,96.00,0.00,0.00,"份",56.00,5376.00,5333.76,676.48,0.00,4657.28,
"京熹顺南京店","老北京特色",,"","老北京现烤麻酱烧饼",,"餐饮商品","单品",96.00,96.00,0.00,0.00,"个",4.00,384.00,381.60,47.11,0.00,334.49,
"京熹顺南京店","新外卖",,"","冷热食出品(温度（熟食出餐）)","温度（熟食出餐）","餐饮商品","单品",92.00,92.00,0.00,0.00,"份",0.00,0.00,0.00,0.00,0.00,0.00,
