,,,,,,,,,,"采购入库明细报表",,,,,,,,,,,
"门店名称:九记·東門口",,,,,,,,,,,,,,,,,,,,,
"查询条件:总部/门店:[九记·東門口;店铺编码：CC000010045,東門口温州店;店铺编码：CS009040522,(闭店)東門口上海中庚漫游城店;店铺编码：CS009040523,東門口桐乡万象汇店;店铺编码：CS009054282,東門口武林店;店铺编码：CS003031459,東門口奥体店;店铺编码：CS003030504,東門口苏州店;店铺编码：CS009039921,(闭店)炎合里中国北方菜;店铺编码：CS011000128,(闭店)炎合里金华永盛购物中心店;店铺编码：CS009035567,東門口远洋店;店铺编码：CS003021468,(闭店)东门口96店;店铺编码：CS003025461,東門口杭州滨江龙湖店;店铺编码：CS009051886,東門口无锡店;店铺编码：CS009050468,焱合里自助火锅文一路店;店铺编码：CS009034590,東門口金华世贸店;店铺编码：CS009037775,京熹顺杭州金沙店;店铺编码：CS009053371,東門口富阳店;店铺编码：CS009049555,東門口上海西郊百联店;店铺编码：CS009050467,巷口锅香文一路店;店铺编码：CS009058665,東門口501店;店铺编码：CS009040508,華門新京菜中国茶(欧美广场EFC店);店铺编码：CS009035566,小蒸娘老杭州萧山蒸菜;店铺编码：CS009057694,東門口啦啦宝都店;店铺编码：CS009040524,京熹顺南京店;店铺编码：CS009053417]; 单据状态:全部; 供应商:全部; 入库仓库:全部; 日期类型:单据业务日期; 日期范围:[""2026-02-01"",""2026-02-28""]; 查询条件:",,,,,,,,,,,,,,,,,,,,,
"店铺名称","单号","单据业务日期","单据操作日期","状态","入库仓库","供应商","原料分类","原料条形码","原料名称","规格","入库单位","入库数量","计价单位","单价(元)","金额(元)","税率(%)","不含税单价(元)","不含税金额(元)","税额(元)","整单备注",
"九记·東門口","20260201000024	","2026-02-01","2026-02-01","已收货","东门口供货专用仓","总仓供应商（其他）","京菜店专用","2000000020983	","烤鸭(京菜店)","4只/箱","箱",300.00,"箱",140.00,42000.00,0,140.00,42000.00,0.00,"",
"九记·東門口","20260201000024	","2026-02-01","2026-02-01","已收货","东门口供货专用仓","总仓供应商（其他）","京菜店专用","2000000020990	","烤鸭鸭饼(京菜店)","100份/箱","箱",20.00,"箱",280.00,5600.00,0,280.00,5600.00,0.00,"",
"九记·東門口","20260201000024	","2026-02-01","2026-02-01","已收货","东门口供货专用仓","总仓供应商（其他）","京菜店专用","2000000021003	","烤鸭鸭酱(京菜店)","40斤/桶","斤",160.00,"斤",3.50,560.00,0,3.50,560.00,0.00,"",
"九记·東門口","20260203000020	","2026-02-03","2026-02-11","已收货","东门口供货专用仓","总仓供应商（肉类）","总仓（肉类）","2000000011493	","羊霖球（总仓）","","斤",2262.00,"斤",38.10,86182.20,0,38.10,86182.20,0.00,"",
"九记·東門口","20260203000021	","2026-02-03","2026-02-03","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（调料、自助小料）","2000000016115	","风光里蓝色长粒香(总仓)","","包",200.00,"包",40.00,8000.00,0,40.00,8000.00,0.00,"",
"九记·東門口","20260203000022	","2026-02-03","2026-02-03","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（酒水、饮品）","2000000015293	","雀兴速冻橙汁（总仓）","","袋",450.00,"袋",11.60,5220.00,0,11.60,5220.00,0.00,"",
"九记·東門口","20260203000022	","2026-02-03","2026-02-03","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（酒水、饮品）","2000000014098	","百香果汁（总仓）","","包",540.00,"包",9.30,5022.00,0,9.30,5022.00,0.00,"",
"九记·東門口","20260203000023	","2026-02-03","2026-02-04","已收货","东门口供货专用仓","总仓供应商（其他）","文一路专用","2000000024813	","麻酱2斤装(文一)","2斤/包","包",20.00,"包",17.40,348.00,0,17.40,348.00,0.00,"",
"九记·東門口","20260203000023	","2026-02-03","2026-02-04","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（调料、自助小料）","2000000001012	","韭菜花（总仓）","","斤",400.00,"斤",5.20,2080.00,0,5.20,2080.00,0.00,"",
"九记·東門口","20260203000023	","2026-02-03","2026-02-04","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（调料、自助小料）","2000000001487	","水晶甜蒜（总仓）","","桶",78.00,"桶",180.00,14040.00,0,180.00,14040.00,0.00,"",
