,,,,,,,,,商品销量报表,,,,,,,,,
"门店名称:青花椒砂锅鱼",,,,,,,,,,,,,,,,,,,
"查询条件:门店:[青花椒成山巴春店(CS003001121),（停用）青花椒五角场合生汇店(8000808),（闭店）青花椒上滨国际店(CS003007869),青花椒浦东三钢里店(8004234),鲜行者杭州城西银泰店(CS009033532),青花椒徐汇光启城店(8004161),（闭店）青花椒世茂广场店(CS009006656),（闭店）青花椒扫码点餐测试店(CS010016238),（闭店）青花椒中环百联店(160206),青花椒颛桥万达店(CS003025525),（闭店）青花椒南京环宇城店(CS003012827),青花椒杨浦合生汇店(CS003030444),（闭店）青花椒办公室仓库(C2015556),（闭店）青花椒嘉定万达店(CS009006658),（闭店）青花椒周浦万达店(C8021649),鲜行者三林新达汇店(CS009006659),（闭店）青花椒镇江苏宁广场店(CS003025998),（闭店）青花椒浦东九六店(8011190),（闭店）青花椒川沙百联店(CS009002776),青花椒新世界新丸中心店(C8016125),青花椒颛桥龙湖店(CS003012826),鲜行者北外滩来福士店(CS009049357),青花椒紫荆广场店(8000678),青花椒南京新百店(CS003011786),（闭店）青花椒九亭金地店(CS003007870),（闭店）青花椒砂锅鱼LCM店(CS009006661),青花椒南桥百联店(CS009006663),（闭店）青花椒南京景枫店(CS009016291),青花椒金山百联店(C8010488),鲜行者凯德虹口龙之梦店(8001670),（闭店）青花椒南通中南城店(CS009005145),鲜行者江桥万达店(CS003025999),青花椒南方百联店(CS003011785),（闭店）青花椒长寿巴春店(8000705),（闭店）青花椒浦东文峰店(160203),鲜行者打浦桥日月光店(8005333),（闭店）空前拼烤鱼【世茂店】(CS009037253),青花椒莘庄龙之梦店(8000530),（闭店）青花椒七宝凯德店(8005478),(闭店)青花椒宝山龙湖店(8011336),（闭店）青花椒测试门店(176277),（闭店）青花椒曹杨店(8002738),（闭店）青花椒南京印象汇店(CS003001122),鲜行者啦啦宝都店(CS003031114),青花椒川食山语颛桥龙湖店 (CS009061227),青花椒徐汇日月光店(CS009006664),（闭店）青花椒南通万象城店(CS009006660),（闭店）青花椒宝山万达店(CS009014647),青花椒松江地中海店(167521),（闭店）青花椒南京水游城店(CS003005211),青花椒松江万达店(CS003023325),青花椒长宁龙之梦店(CS003011787),（闭店）青花椒北京长楹龙湖店(CS003028292),（闭店）青花椒静安大融城店(C8024722),（闭店）青花椒南通文峰店(8010053),青花椒松江鹿都店(8005703),（闭店）青花椒滨江万科店(CS009004314),青花椒杭州湖滨银泰城店(CS003015701),（闭店）青花椒虹桥南丰城店(163080),（闭店）青花椒崇明万达店(CS003024218),（闭店）青花椒青浦宝龙店(CS009006662),（闭店）青花椒我格广场店(CS009000641),（闭店）青花椒浦东米岛店(8002827),（闭店）不二君世茂广场店(CS003031009)]; 商品分类:[全部]; 商品:[全部]; 时间范围:[""2026-02-01"",""2026-02-28""]; 是否显示套餐子商品数量:是; 商品名称多选:; 区域:全部; 交易类型:销售; 销售渠道:全部; 商品属性:[赠品,单品,套餐,自定义套餐,自定义单品,套餐子商品,其他]; 排序方式:数量; 展示维度:按商品+点单方式汇总; 商品分类多选:; 是否显示套餐子商品金额:是; 菜单名称:",,,,,,,,,,,,,,,,,,,
"门店名称","商品分类","收入分组","商品编码","商品名称","规格","商品类型","点单方式","单卖数量(不含套餐子商品)","数量(含套餐子商品)","退货数量(不含套餐子商品)","套餐内销量","单位","销售单价","销售金额","折后金额","分摊优惠","实退金额","实收",
"青花椒南方百联店","主食甜品点心",,"","米饭(碗)","碗","餐饮商品","单品",1822.00,1822.00,0.00,0.00,"份",3.00,5466.00,5463.30,471.45,0.00,4991.85,
"青花椒南方百联店","砂锅鱼",,"","招牌青花椒鱼(微麻微辣)(一吃）",,"餐饮商品","单品",1772.50,1772.50,0.00,0.00,"斤",69.00,122302.50,122220.39,10598.51,0.00,111621.88,
"青花椒南方百联店","砂锅鱼",,"","招牌青花椒鱼(微麻微辣)(两吃）",,"餐饮商品","单品",1466.80,1466.80,0.00,0.00,"斤",69.00,101209.20,101209.20,7535.25,0.00,93673.95,
"青花椒南方百联店","其他_外卖",,"","#需要餐具#",,"餐饮商品","单品",993.00,993.00,0.00,0.00,"份",0.20,198.60,198.60,96.27,0.00,102.33,
"青花椒南方百联店","其他-外",,"","#无需餐具#",,"餐饮商品","单品",985.00,985.00,0.00,0.00,"份",0.00,0.00,0.00,0.00,0.00,0.00,
"青花椒南方百联店","鱼锅伴侣",,"106","娃娃菜",,"餐饮商品","单品",807.00,807.00,0.00,0.00,"份",8.00,6456.00,6453.60,567.49,0.00,5886.11,
"青花椒南方百联店","主食甜品点心",,"","自助冰粉",,"餐饮商品","单品",694.00,694.00,0.00,0.00,"份",9.90,6870.60,6870.60,867.51,0.00,6003.09,
"青花椒南方百联店","其他-外",,"","打包盒",,"餐饮商品","单品",676.00,676.00,0.00,0.00,"份",2.50,1690.00,1690.00,863.41,0.00,826.59,
"青花椒南方百联店","鱼锅伴侣",,"","峨边脆笋",,"餐饮商品","单品",464.00,464.00,0.00,0.00,"份",12.00,5568.00,5566.20,575.18,0.00,4991.02,
"青花椒南方百联店","饮料-外",,"","#百事可乐#",,"餐饮商品","套餐子商品",0.00,460.00,0.00,460.00,"瓶",6.00,2760.00,2721.48,1478.70,0.00,1242.78,
"青花椒南方百联店","外卖套餐",,"","#招牌青花椒鱼可乐单人套餐#",,"餐饮套餐商品","套餐",439.00,439.00,0.00,0.00,"份",64.00,28096.00,28096.00,15477.12,0.00,12618.88,
"青花椒南方百联店","鱼锅伴侣",,"","豆腐皮",,"餐饮商品","单品",408.00,408.00,0.00,0.00,"份",8.00,3264.00,3262.00,226.25,0.00,3035.75,
"青花椒南方百联店","主食点心-外",,"","#米饭#",,"餐饮商品","单品",376.00,376.00,0.00,0.00,"份",3.00,1128.00,1128.00,467.20,0.00,660.80,
"青花椒南方百联店","鱼锅伴侣",,"","莴笋",,"餐饮商品","单品",349.00,349.00,0.00,0.00,"份",10.00,3490.00,3489.00,210.86,0.00,3278.14,
"青花椒南方百联店","手工去刺-外",,"","#招牌青花椒味(单人份)#",,"餐饮商品","单品",345.00,345.00,0.00,0.00,"份",58.00,20010.00,20010.00,10026.30,0.00,9983.70,
"青花椒南方百联店","砂锅鱼",,"","营养多C番茄鱼（两吃）",,"餐饮商品","单品",315.40,315.40,0.00,0.00,"斤",69.00,21762.60,21762.60,1635.85,0.00,20126.75,
"青花椒南方百联店","热菜系列",,"","白灼生菜",,"餐饮商品","单品",312.00,312.00,0.00,0.00,"份",18.00,5616.00,5616.00,714.14,0.00,4901.86,
"青花椒南方百联店","单人份鱼_外卖",,"","#招牌青花椒味(单人份)#",,"餐饮商品","单品",311.00,311.00,0.00,0.00,"份",58.00,18038.00,18038.00,8838.19,0.00,9199.81,
"青花椒南方百联店","手工去刺-外",,"","#招牌青花椒味(单人份)#",,"餐饮商品","套餐子商品",0.00,304.00,0.00,304.00,"份",58.00,17632.00,17632.00,9741.33,0.00,7890.67,
"青花椒南方百联店","砂锅鱼",,"","营养多C番茄鱼（一吃）",,"餐饮商品","单品",300.00,300.00,0.00,0.00,"斤",69.00,20700.00,20700.00,1825.91,0.00,18874.09,
"青花椒南方百联店","主食点心-外",,"","#米饭#",,"餐饮商品","套餐子商品",0.00,293.00,0.00,293.00,"份",3.00,879.00,939.47,475.97,0.00,463.50,
"青花椒南方百联店","鱼锅伴侣",,"115","金针菇",,"餐饮商品","单品",288.00,288.00,0.00,0.00,"份",10.00,2880.00,2880.00,182.81,0.00,2697.19,
"青花椒南方百联店","单人份鱼_外卖",,"","#招牌青花椒味(单人份)#",,"餐饮商品","套餐子商品",0.00,238.00,0.00,238.00,"份",58.00,13804.00,12989.43,6760.22,0.00,6229.21,
"青花椒南方百联店","招牌飞饼",,"502","香蕉飞饼",,"餐饮商品","单品",235.00,235.00,0.00,0.00,"个",25.00,5875.00,5875.00,377.01,0.00,5497.99,
"青花椒南方百联店","其他-外",,"","打包盒",,"餐饮商品","单品",218.00,218.00,0.00,0.00,"份",1.00,218.00,218.00,120.76,0.00,97.24,
"青花椒南方百联店","其他-外",,"","打包盒",,"餐饮商品","单品",213.00,213.00,0.00,0.00,"份",3.50,745.50,745.50,379.38,0.00,366.12,
"青花椒南方百联店","手工炸品",,"","咸蛋黄牛蛙",,"餐饮商品","单品",199.00,199.00,0.00,0.00,"根",22.00,4378.00,4378.00,427.17,0.00,3950.83,
"青花椒南方百联店","其他",,"","打包盒中",,"餐饮商品","单品",197.00,197.00,0.00,0.00,"个",2.00,394.00,394.00,31.15,0.00,362.85,
"青花椒南方百联店","鱼锅伴侣",,"113","千页豆腐",,"餐饮商品","单品",196.00,196.00,0.00,0.00,"份",10.00,1960.00,1960.00,138.79,0.00,1821.21,
"青花椒南方百联店","手工炸品",,"","摇滚小酥肉",,"餐饮商品","单品",191.00,191.00,0.00,0.00,"份",22.00,4202.00,4202.00,300.37,0.00,3901.63,
"青花椒南方百联店","鱼锅伴侣",,"","四川粉条",,"餐饮商品","单品",177.00,177.00,0.00,0.00,"份",10.00,1770.00,1770.00,91.13,0.00,1678.87,
"青花椒南方百联店","主食甜品点心",,"","米饭",,"餐饮商品","套餐子商品",0.00,170.00,0.00,170.00,"份",3.00,510.00,510.00,100.24,0.00,409.76,
"青花椒南方百联店","主食甜品点心",,"","手工糍粑",,"餐饮商品","单品",163.00,163.00,0.00,0.00,"份",18.00,2934.00,2934.00,223.37,0.00,2710.63,
"青花椒南方百联店","主食甜品点心",,"","米饭",,"餐饮商品","单品",163.00,163.00,0.00,0.00,"份",3.00,489.00,489.00,43.58,0.00,445.42,
"青花椒南方百联店","鱼锅伴侣",,"102","年糕",,"餐饮商品","单品",157.00,157.00,0.00,0.00,"份",8.00,1256.00,1255.20,81.48,0.00,1173.72,
"青花椒南方百联店","鱼锅伴侣",,"103","土豆粉",,"餐饮商品","单品",145.00,145.00,0.00,0.00,"份",8.00,1160.00,1160.00,85.71,0.00,1074.29,
"青花椒南方百联店","手工炸品",,"","双味包浆豆腐",,"餐饮商品","单品",145.00,145.00,0.00,0.00,"份",18.00,2610.00,2610.00,187.12,0.00,2422.88,
"青花椒南方百联店","其他-外",,"","打包盒",,"餐饮商品","单品",137.00,137.00,0.00,0.00,"份",5.00,685.00,685.00,262.41,0.00,422.59,
"青花椒南方百联店","手工去刺-外",,"","#招牌青花椒味(2-3人份)#",,"餐饮商品","单品",134.00,134.00,0.00,0.00,"份",198.00,26532.00,26532.00,9299.34,0.00,17232.66,
"青花椒南方百联店","手工炸品-外",,"","#咸蛋黄鸡翅#",,"餐饮商品","单品",128.00,128.00,0.00,0.00,"份",16.00,2048.00,2048.00,1036.52,0.00,1011.48,
"青花椒南方百联店","手工炸品",,"","香辣牛蛙",,"餐饮商品","单品",126.00,126.00,0.00,0.00,"根",22.00,2772.00,2772.00,237.34,0.00,2534.66,
"青花椒南方百联店","手工去刺-外",,"","#营养多C番茄味(单人份)#",,"餐饮商品","单品",125.00,125.00,0.00,0.00,"份",58.00,7250.00,7250.00,3628.03,0.00,3621.97,
"青花椒南方百联店","热菜系列",,"","鲜腐竹杭白菜",,"餐饮商品","单品",123.00,123.00,0.00,0.00,"份",22.00,2706.00,2706.00,145.67,0.00,2560.33,
"青花椒南方百联店","热菜系列",,"","香煎鲜虾饼",,"餐饮商品","单品",118.00,118.00,0.00,0.00,"份",39.00,4602.00,4602.00,222.25,0.00,4379.75,
"青花椒南方百联店","手工炸品",,"","咸蛋黄鸡翅(4个)","4个","餐饮商品","单品",118.00,118.00,0.00,0.00,"份",29.00,3422.00,3422.00,259.21,0.00,3162.79,
"青花椒南方百联店","招牌飞饼",,"507","葱花飞饼",,"餐饮商品","单品",116.00,116.00,0.00,0.00,"个",20.00,2320.00,2320.00,167.14,0.00,2152.86,
"青花椒南方百联店","乐山炸串",,"","乐山把把串",,"餐饮商品","单品",111.00,111.00,0.00,0.00,"份",36.00,3996.00,3992.40,222.70,0.00,3769.70,
"青花椒南方百联店","主食甜品点心",,"","儿童套餐A",,"餐饮商品","赠品",107.00,107.00,0.00,0.00,"份",18.00,1926.00,0.00,0.00,0.00,0.00,
"青花椒南方百联店","鱼锅伴侣",,"","脆山药",,"餐饮商品","单品",101.00,101.00,0.00,0.00,"份",10.00,1010.00,1010.00,67.03,0.00,942.97,
"青花椒南方百联店","热菜系列",,"","砂锅肉沫豆腐",,"餐饮商品","单品",98.00,98.00,0.00,0.00,"份",26.00,2548.00,2548.00,173.37,0.00,2374.63,
"青花椒南方百联店","热菜系列_外卖",,"","#成都冒烤鸭(单人份)#",,"餐饮商品","单品",97.00,97.00,0.00,0.00,"份",70.00,6790.00,6790.00,4063.06,0.00,2726.94,
"青花椒南方百联店","砂锅鱼",,"","古法秘制酸菜鱼（两吃）",,"餐饮商品","单品",96.80,96.80,0.00,0.00,"斤",69.00,6679.20,6679.20,748.11,0.00,5931.09,
"青花椒南方百联店","热菜系列",,"","酸萝卜鸭血",,"餐饮商品","单品",92.00,92.00,0.00,0.00,"份",18.00,1656.00,1656.00,137.36,0.00,1518.64,
"青花椒南方百联店","鱼锅伴侣",,"112","花菜",,"餐饮商品","单品",88.00,88.00,0.00,0.00,"份",10.00,880.00,880.00,81.34,0.00,798.66,
"青花椒南方百联店","热菜系列",,"","金牌蒜蓉粉丝虾仁",,"餐饮商品","单品",88.00,88.00,0.00,0.00,"份",42.00,3696.00,3696.00,216.68,0.00,3479.32,
"青花椒南方百联店","招牌砂锅鱼-外",,"","#古法秘制酸菜味(单人份)#",,"餐饮商品","单品",87.00,87.00,0.00,0.00,"份",58.00,5046.00,5046.00,2490.73,0.00,2555.27,
"青花椒南方百联店","手工炸品",,"","摇滚小酥肉",,"餐饮商品","套餐子商品",0.00,85.00,0.00,85.00,"份",22.00,1870.00,1870.00,367.54,0.00,1502.46,
"青花椒南方百联店","酒水&饮料",,"","红宝石石榴汁",,"餐饮商品","套餐子商品",0.00,85.00,0.00,85.00,"扎",26.00,2210.00,2210.00,434.36,0.00,1775.64,
"青花椒南方百联店","多人份鱼_外卖",,"","#招牌青花椒味(小份)#",,"餐饮商品","单品",84.00,84.00,0.00,0.00,"份",158.00,13272.00,13272.00,4908.85,0.00,8363.15,
"青花椒南方百联店","热菜系列",,"","成都冒烤鸭(小份)",,"餐饮套餐商品","套餐",83.00,83.00,0.00,0.00,"份",58.00,4814.00,4814.00,454.97,0.00,4359.03,
"青花椒南方百联店","砂锅鱼",,"","古法秘制酸菜鱼（一吃）",,"餐饮商品","单品",78.90,78.90,0.00,0.00,"斤",69.00,5444.10,5444.10,240.34,0.00,5203.76,
"青花椒南方百联店","酒水&饮料",,"605","可口可乐",,"餐饮商品","单品",77.00,77.00,0.00,0.00,"听",6.00,462.00,462.00,42.60,0.00,419.40,
"青花椒南方百联店","主食点心-外",,"","#经典红糖冰粉#",,"餐饮商品","套餐子商品",0.00,75.00,0.00,75.00,"份",12.00,900.00,882.95,491.85,0.00,391.10,
"青花椒南方百联店","酒水&饮料",,"","百威啤酒",,"餐饮商品","单品",74.00,74.00,0.00,0.00,"瓶",12.00,888.00,888.00,29.11,0.00,858.89,
"青花椒南方百联店","其他-外",,"","打包盒",,"餐饮商品","单品",74.00,74.00,0.00,0.00,"份",2.00,148.00,148.00,68.42,0.00,79.58,
"青花椒南方百联店","其他",,"","大打包盒",,"餐饮商品","单品",73.00,73.00,0.00,0.00,"个",3.00,219.00,219.00,23.44,0.00,195.56,
"青花椒南方百联店","鱼锅伴侣",,"","鲜绣球菌",,"餐饮商品","单品",72.00,72.00,0.00,0.00,"份",12.00,864.00,864.00,59.55,0.00,804.45,
"青花椒南方百联店","单人份鱼_外卖",,"","#爆香麻辣水煮鱼(单人份)#",,"餐饮商品","单品",70.00,70.00,0.00,0.00,"份",58.00,4060.00,4060.00,2020.14,0.00,2039.86,
"青花椒南方百联店","招牌飞饼",,"506","菠萝飞饼",,"餐饮商品","单品",65.00,65.00,0.00,0.00,"个",25.00,1625.00,1625.00,124.50,0.00,1500.50,
"青花椒南方百联店","鱼羊鲜",,"","鱼羊鲜",,"餐饮商品","套餐子商品",0.00,63.00,0.00,63.00,"份",148.00,9324.00,9324.00,1756.43,0.00,7567.57,
"青花椒南方百联店","市场活动",,"","【新】暖冬鱼羊鲜双人餐",,"餐饮套餐商品","套餐",63.00,63.00,0.00,0.00,"份",220.00,13860.00,13860.00,2610.91,0.00,11249.09,
"青花椒南方百联店","热菜系列",,"","白灼生菜",,"餐饮商品","套餐子商品",0.00,63.00,0.00,63.00,"份",18.00,1134.00,1134.00,213.62,0.00,920.38,
